Course,Daytime/evening attendance	,Previous qualification,Previous qualification (grade),Admission grade,Educational special needs,Tuition fees up to date,Gender,Scholarship holder,Age at enrollment,Curricular units 1st sem (credited),Curricular units 1st sem (enrolled),Curricular units 1st sem (evaluations),Curricular units 1st sem (approved),Curricular units 1st sem (grade),Curricular units 1st sem (without evaluations),Curricular units 2nd sem (credited),Curricular units 2nd sem (enrolled),Curricular units 2nd sem (evaluations),Curricular units 2nd sem (approved),Curricular units 2nd sem (grade),Curricular units 2nd sem (without evaluations),Target
9147,1,1,125,120,0,1,1,0,19,0,5,8,5,11,0,0,5,10,4,10,3,0
9254,1,1,160,100,0,1,1,0,26,0,6,7,6,12,0,0,6,8,5,10,0,2
9147,1,1,148,134,0,1,1,0,18,0,5,9,0,0,0,0,5,5,0,0,0,2
9500,1,1,150,130,0,1,1,0,24,0,7,8,7,11,0,0,8,8,8,13,0,1
171,1,1,141,135,0,1,1,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0
9254,1,1,118,111,0,1,1,0,18,0,6,12,3,11,0,0,6,12,1,12,0,0
9773,1,1,142,132,0,1,1,0,18,0,6,8,6,12,0,0,6,11,3,12,0,1
9147,1,1,120,115,0,1,1,0,18,0,5,8,3,10,0,0,5,11,3,10,0,0
9254,1,1,106,106,0,1,1,1,21,0,6,8,4,10,0,0,6,11,1,11,0,0
9773,1,1,121,120,0,1,1,1,19,0,6,6,6,13,0,0,6,6,6,13,0,1
9500,1,1,150,130,0,1,1,1,22,0,7,7,7,14,0,0,8,9,8,15,0,1
8014,0,1,120,117,0,1,1,0,33,0,6,8,6,12,0,0,6,6,6,11,0,1
9853,1,1,114,110,0,1,1,0,20,0,6,8,5,12,0,0,6,7,5,12,0,0
9991,0,2,140,155,0,1,1,0,35,0,1,1,0,0,1,0,5,0,0,0,0,0
9003,1,4,160,180,0,1,1,0,24,6,12,17,6,12,0,7,12,14,10,13,0,0
9254,1,1,120,125,0,1,1,0,18,0,5,6,5,12,0,0,5,8,3,11,0,2
8014,0,1,130,110,0,1,0,0,33,0,6,7,6,11,0,0,6,11,5,11,0,1
9500,1,1,160,161,0,1,0,1,22,0,8,8,7,13,0,0,8,8,7,13,0,1
9670,1,1,120,100,0,1,0,1,25,0,5,7,4,10,0,0,5,7,5,11,0,1
9070,1,1,124,117,0,1,1,0,20,0,6,9,6,10,1,0,6,6,5,11,0,1
9147,1,1,143,128,0,1,1,0,23,0,5,6,4,14,0,0,5,5,5,13,0,2
9119,1,1,115,112,0,1,1,0,18,0,5,9,2,10,0,0,5,9,0,0,0,2
9500,1,1,133,100,0,1,1,0,24,0,7,18,0,0,0,0,7,7,0,0,0,0
9773,1,1,133,105,0,0,0,0,21,0,6,6,6,14,0,0,6,6,6,13,0,1
9130,1,1,133,100,0,1,0,0,26,0,6,7,2,12,1,0,6,6,0,0,0,0
9853,1,10,133,115,0,1,0,0,39,0,6,12,3,12,0,0,6,14,0,0,1,0
8014,0,1,133,114,0,1,0,0,44,2,8,11,8,11,0,0,6,7,6,12,0,1
9119,1,1,130,137,0,1,1,0,19,0,5,9,5,14,0,0,5,11,3,13,0,2
9773,1,1,135,124,0,1,0,0,18,0,6,6,6,13,0,0,6,6,6,13,0,1
9500,1,1,132,120,0,1,0,1,18,0,7,7,7,13,0,0,8,9,8,14,0,1
9085,1,1,135,134,0,1,0,0,19,0,5,7,5,14,2,0,5,7,5,13,0,2
9500,1,1,115,111,0,0,0,0,19,0,7,10,4,11,0,0,7,7,0,0,0,0
9085,1,42,130,128,0,1,0,0,21,7,10,12,8,12,0,4,9,14,5,13,0,0
171,1,1,133,110,0,1,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,1
8014,0,1,130,113,0,1,0,0,36,0,6,0,0,0,0,0,6,0,0,0,0,0
9003,1,12,133,160,0,1,0,0,43,13,18,19,18,14,0,10,13,14,13,14,1,1
9853,1,1,123,117,0,1,0,0,19,0,6,0,0,0,0,0,6,0,0,0,0,0
9070,1,1,130,122,0,1,0,0,20,4,10,12,10,13,0,5,11,11,11,12,0,1
9238,1,1,122,118,0,1,0,0,19,0,6,0,0,0,0,0,6,0,0,0,0,0
9085,1,1,113,106,0,1,0,0,20,0,6,15,4,14,0,0,6,17,4,13,0,0
9500,1,1,111,108,0,1,0,0,20,2,7,9,6,13,0,0,7,10,5,12,0,0
9853,1,1,133,107,0,1,0,0,20,0,7,12,6,11,0,0,7,10,3,13,0,2
9238,1,1,142,136,0,1,0,0,18,0,6,8,6,13,0,0,6,6,6,15,0,1
9147,1,1,123,115,0,1,0,1,18,0,5,9,3,13,0,0,5,11,3,11,0,2
9085,1,1,131,139,0,1,0,0,19,0,5,6,5,13,0,0,5,5,5,12,0,1
9773,1,1,158,157,0,1,0,0,18,0,6,6,6,12,0,0,6,7,6,12,0,1
9500,1,1,122,131,0,1,0,0,18,0,7,7,6,12,1,0,7,7,6,12,1,0
9500,1,1,130,100,0,1,0,0,20,0,7,11,6,11,0,0,7,7,7,13,0,2
9238,1,1,154,140,0,1,0,1,20,0,6,13,2,10,0,0,6,12,4,10,0,2
9147,1,1,120,113,0,1,0,0,20,0,5,11,3,10,0,0,5,10,3,10,0,2
9085,1,1,140,137,0,1,0,0,18,0,5,12,5,13,2,0,5,6,5,11,0,1
9147,1,1,127,121,0,1,0,0,18,0,5,5,5,12,0,0,5,5,5,14,0,1
9254,1,1,133,131,0,1,0,0,21,0,6,12,3,11,0,0,6,12,2,11,0,0
9147,1,1,120,118,0,1,0,0,19,0,5,8,5,10,0,0,5,9,4,11,2,1
171,1,1,137,122,0,1,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0
9670,1,1,131,127,0,1,0,1,19,0,5,5,5,12,0,0,5,5,5,14,0,1
9085,1,1,130,121,0,1,0,0,19,0,6,15,6,14,0,0,6,13,6,12,0,1
9556,1,1,122,117,0,1,0,0,19,0,7,12,5,12,0,0,7,0,0,0,0,0
9085,1,39,160,160,0,1,0,0,20,1,6,7,6,14,0,1,6,17,5,13,0,1
9853,1,1,146,145,0,1,0,1,18,0,6,8,5,12,0,0,6,7,5,13,0,2
9238,1,1,131,122,0,1,0,0,18,0,6,7,6,13,0,0,6,6,6,13,0,1
9500,1,1,132,128,0,1,0,0,19,0,7,7,7,13,0,0,8,9,8,15,0,1
9500,1,1,138,124,0,1,0,1,18,0,7,9,7,13,0,0,8,9,7,13,0,0
9070,1,1,130,123,0,1,0,0,18,0,6,6,6,12,0,0,6,6,6,13,0,1
9147,1,1,126,120,0,1,0,0,19,0,5,7,5,12,0,0,5,5,5,14,0,1
9500,1,1,148,131,0,1,0,0,19,0,7,8,5,14,0,0,7,7,0,0,0,0
9238,1,1,130,133,0,1,0,0,20,5,9,15,9,11,0,2,7,8,7,11,0,1
9670,1,1,117,109,0,0,0,1,19,0,6,7,5,12,0,0,6,9,4,12,0,0
9670,1,1,120,113,0,1,0,0,20,0,5,7,4,12,0,0,5,5,4,11,0,1
9773,1,1,153,157,0,1,0,1,18,0,6,6,6,14,0,0,6,6,6,14,0,1
9500,1,1,117,112,0,1,0,1,20,0,7,9,5,13,0,0,8,9,7,12,0,2
9500,1,1,178,174,0,1,0,0,18,0,7,8,7,17,0,0,8,8,8,17,0,1
9500,1,1,129,128,0,1,0,0,19,0,7,7,6,12,0,0,7,7,6,12,0,1
9773,1,1,116,110,0,1,0,1,19,0,6,8,6,12,0,0,6,10,5,12,0,1
9147,1,1,99,99,0,0,0,0,22,0,5,8,0,0,0,0,5,7,0,0,0,2
9238,1,1,135,121,0,1,0,1,19,0,6,7,6,11,0,0,6,6,6,11,0,1
9500,1,1,141,131,0,1,0,1,19,0,7,10,7,13,0,0,8,11,8,12,0,1
9853,1,1,132,119,0,1,0,1,19,0,6,10,5,12,0,0,6,9,5,10,0,1
9254,1,1,132,124,0,1,0,0,19,0,5,10,0,0,0,0,5,10,0,0,0,0
9254,1,1,113,117,0,1,0,0,20,0,6,8,5,11,0,0,6,12,3,11,0,0
9147,1,1,134,128,0,1,0,0,18,0,5,10,5,13,0,0,5,9,5,14,0,1
9500,1,1,136,131,0,1,0,1,20,0,7,8,6,13,0,0,8,9,7,14,0,1
171,1,1,136,121,0,1,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,2
9085,1,1,129,123,0,1,0,0,19,0,5,6,5,12,0,0,5,6,5,13,0,1
9853,1,1,138,124,0,1,0,0,18,0,6,11,3,12,0,0,6,10,5,10,0,2
9853,1,1,137,132,0,1,0,0,18,0,6,7,6,13,0,0,6,8,5,11,0,1
9853,1,1,115,108,0,1,0,0,21,0,6,10,3,12,0,0,6,12,3,10,0,0
9853,1,1,129,138,0,1,0,0,19,0,6,8,6,12,0,0,6,10,4,11,0,0
9147,1,1,131,126,0,1,0,1,18,0,5,5,5,10,0,0,5,5,5,11,0,1
9238,1,1,133,127,0,1,0,1,18,0,6,8,6,12,0,0,6,7,6,11,0,1
9238,1,1,125,123,0,1,0,0,20,0,6,10,4,11,0,0,6,9,6,11,0,1
8014,0,1,120,122,0,1,0,1,24,0,6,11,5,11,0,0,6,9,5,12,0,1
9670,1,1,128,118,0,1,0,0,19,0,6,6,6,13,0,0,6,9,6,13,0,0
9500,1,1,127,123,0,1,0,1,18,0,7,9,7,12,0,0,8,12,7,12,0,1
9500,1,1,134,125,0,1,0,0,18,0,7,8,7,14,0,0,8,8,8,15,0,1
9853,1,1,132,123,0,1,0,0,21,0,6,13,4,11,0,0,6,10,3,11,0,0
9670,1,1,124,124,0,1,0,0,19,0,5,5,5,14,0,0,5,5,5,14,0,1
9773,1,1,133,126,0,1,0,1,19,0,6,6,6,12,0,0,6,7,6,13,0,1
9003,1,1,170,170,0,1,0,0,47,0,1,1,0,0,0,0,6,0,0,0,0,2
9238,1,1,125,121,0,1,0,0,19,0,6,10,5,11,0,0,6,12,4,11,0,1
9500,1,3,130,130,0,1,0,0,29,1,8,8,7,14,0,1,8,8,7,14,0,1
9238,1,1,125,117,0,1,0,0,21,0,6,13,3,12,0,0,6,12,2,11,0,0
9085,1,1,130,130,0,1,0,0,28,0,5,13,4,11,1,0,5,11,4,10,0,2
9556,1,1,133,108,0,1,0,0,20,0,7,8,7,12,0,0,8,8,8,13,0,1
9500,1,1,131,132,0,1,0,0,19,0,7,7,6,11,0,0,7,7,6,11,0,1
8014,0,1,150,148,0,1,0,0,26,0,6,10,3,11,0,0,6,8,5,12,0,1
9254,1,1,125,122,0,0,0,0,20,0,6,8,4,11,0,0,6,6,6,13,0,0
9670,1,1,131,123,0,1,0,1,18,0,5,6,3,11,0,0,5,6,4,13,0,2
9853,1,1,130,102,0,1,0,0,27,0,6,9,5,13,0,0,6,10,5,12,0,1
9500,1,1,123,113,0,1,0,0,20,0,7,8,4,11,0,0,7,8,4,11,0,0
9853,1,1,141,133,0,1,0,0,18,0,6,8,5,12,0,0,6,12,5,10,0,0
9500,1,3,140,140,0,1,0,0,33,2,7,8,6,14,0,3,8,10,6,14,0,0
9853,1,1,140,128,0,1,0,0,35,19,21,21,21,12,0,13,19,19,19,12,0,1
9991,0,39,140,140,0,1,0,1,26,2,6,7,6,12,0,2,6,7,6,13,1,2
9773,1,19,133,104,0,0,0,0,27,0,6,6,5,12,0,0,6,6,0,0,0,0
9070,1,1,131,122,0,0,0,0,19,0,6,6,6,12,0,0,6,6,0,0,0,0
9254,1,1,143,135,0,1,0,0,20,0,6,0,0,0,0,0,6,0,0,0,0,0
9147,1,1,132,119,0,0,0,0,20,0,5,9,3,10,0,0,5,9,3,10,0,0
9238,1,1,143,126,0,0,0,0,21,5,10,18,8,11,0,0,6,12,4,10,0,2
9500,1,1,141,129,0,1,0,1,18,0,7,7,6,13,0,0,7,7,6,13,0,1
9085,1,1,133,162,0,1,0,0,24,0,6,10,2,11,0,0,6,6,0,0,0,0
9070,1,1,148,163,0,1,0,0,20,0,6,7,6,11,0,0,6,6,6,12,0,1
9254,1,1,125,121,0,1,0,1,21,0,6,7,6,12,0,0,6,6,6,12,0,1
8014,0,1,120,122,0,1,0,0,23,0,6,13,2,10,0,0,5,12,1,10,0,2
9147,1,1,140,118,0,1,0,0,24,0,5,5,0,0,0,0,5,5,0,0,0,0
9853,1,1,139,134,0,1,0,0,21,0,6,0,0,0,0,0,6,0,0,0,0,0
9500,1,1,142,129,0,1,0,0,18,0,8,8,7,12,0,0,8,8,7,12,0,1
9991,0,40,130,152,0,1,0,0,27,0,5,0,0,0,0,0,5,0,0,0,0,0
9500,1,1,126,122,0,1,0,0,18,0,8,8,8,12,0,0,8,8,8,12,0,1
9119,1,3,150,150,0,1,0,0,35,0,5,0,0,0,0,0,5,0,0,0,0,0
9853,1,1,130,131,0,1,0,0,18,0,7,9,7,12,0,0,7,8,7,14,0,1
9500,1,1,120,105,0,1,0,0,35,0,3,4,3,11,0,0,3,3,3,11,0,2
9085,1,1,138,132,0,1,0,0,19,0,5,9,4,13,0,0,5,13,4,14,2,1
9238,1,1,127,127,0,1,0,0,20,0,6,8,6,11,0,0,6,6,6,11,0,1
9500,1,1,140,129,0,1,0,0,18,0,8,8,7,12,0,0,8,8,7,12,0,1
9238,1,39,130,126,0,1,0,0,21,3,6,6,6,12,0,2,6,7,6,11,0,1
9238,1,1,128,116,0,1,0,1,18,0,6,11,5,11,0,0,6,11,4,11,0,1
9238,1,1,132,119,0,1,0,0,18,0,6,9,4,11,0,0,6,9,4,10,0,1
9500,1,1,149,126,0,1,0,0,18,0,8,8,7,12,0,0,8,8,7,12,0,1
9773,1,1,155,149,0,1,0,1,18,0,6,6,6,13,0,0,6,6,6,14,0,1
9085,1,1,120,115,0,1,0,0,19,0,6,8,6,13,0,0,6,9,5,13,0,1
9254,1,19,133,124,0,1,0,1,36,0,6,7,6,13,0,0,6,6,5,12,0,0
9500,1,1,131,128,0,1,0,1,18,0,8,8,7,12,0,0,8,8,7,12,0,1
9500,1,1,149,136,0,1,0,1,18,0,7,7,6,12,0,0,7,7,6,12,0,1
9130,1,1,140,140,0,1,0,1,20,0,6,8,6,15,0,0,6,8,6,15,0,1
9991,0,1,133,126,0,1,0,1,26,0,5,7,0,0,0,0,5,8,0,0,0,0
9773,1,1,122,126,0,1,0,0,21,0,6,8,6,11,0,0,6,7,6,12,0,1
9556,1,40,130,145,0,1,0,0,25,0,7,10,6,12,0,0,8,9,8,13,0,2
9147,1,1,121,115,0,1,0,1,19,0,5,7,5,11,0,0,5,5,5,11,0,1
8014,0,1,120,100,0,1,0,0,24,0,6,11,1,10,0,0,6,6,0,0,6,0
8014,0,1,133,102,0,1,0,1,27,0,6,16,1,10,0,0,6,13,0,0,0,0
9085,1,1,121,131,0,1,0,0,21,0,5,10,0,0,1,0,5,9,2,13,0,0
9147,1,1,133,147,0,1,0,1,18,0,5,7,4,13,0,0,5,8,3,12,0,1
9853,1,1,134,122,1,1,0,1,19,0,6,6,6,13,0,0,6,6,6,14,0,1
9254,1,1,115,117,0,1,0,0,18,0,6,9,4,11,0,0,6,13,2,12,0,0
9500,1,1,127,150,0,1,0,1,19,0,7,9,5,13,0,0,8,9,7,12,0,1
9500,1,1,135,127,0,1,0,1,19,0,7,8,6,13,0,0,8,9,7,14,0,1
9991,0,43,140,140,0,1,0,0,33,2,6,7,6,15,0,0,5,5,5,15,0,1
9147,1,3,130,130,0,1,0,0,45,0,5,6,5,11,0,0,5,5,5,13,0,1
9238,1,1,135,133,0,1,0,1,20,0,6,6,6,12,0,0,6,7,6,12,0,1
9670,1,1,140,97,0,1,0,0,28,0,5,5,0,0,0,0,5,5,0,0,0,0
9500,1,1,120,112,0,1,0,1,19,0,8,15,7,11,0,0,8,15,7,11,0,1
9254,1,1,140,123,0,1,0,0,18,0,6,10,6,12,0,0,6,6,3,12,0,1
9254,1,3,133,130,0,1,0,0,38,0,6,0,0,0,0,0,6,0,0,0,0,0
9670,1,1,135,133,0,1,0,0,19,0,5,5,5,13,0,0,5,5,5,13,0,1
9254,1,1,123,132,0,1,0,1,21,0,6,9,5,11,0,0,6,8,5,12,0,1
9147,1,1,133,100,0,1,0,0,21,0,5,12,3,12,0,0,5,12,1,15,3,0
9238,1,1,154,140,0,1,0,1,22,0,6,6,5,12,0,0,6,6,6,13,0,1
9853,1,1,148,141,0,1,0,1,18,0,6,8,5,13,0,0,6,7,6,13,0,1
9238,1,1,133,119,1,1,0,1,18,0,6,9,6,11,0,0,6,9,6,11,0,1
9130,1,1,126,122,0,0,0,0,25,0,5,14,4,13,2,0,5,10,4,14,0,0
9085,1,19,133,140,0,0,0,0,24,2,6,11,3,11,0,1,6,14,3,10,0,0
9500,1,1,125,119,0,1,0,0,19,0,7,10,6,12,0,0,7,8,7,11,0,2
171,1,1,145,155,0,1,0,0,24,11,17,19,11,12,0,9,13,15,9,13,0,2
9147,1,1,118,119,0,1,0,1,20,0,5,5,5,11,0,0,5,5,5,13,0,1
9147,1,1,120,122,0,0,0,0,25,0,5,5,0,0,0,0,5,9,0,0,0,0
9147,1,1,127,117,0,1,0,1,20,5,10,13,9,12,0,4,10,12,10,12,0,1
9500,1,3,130,130,0,1,0,0,23,0,8,8,8,13,0,0,8,8,8,13,0,1
9500,1,1,129,120,0,1,0,1,19,0,8,8,7,13,0,0,8,8,7,13,0,1
9003,1,39,130,130,0,0,0,0,29,0,6,13,3,12,0,0,6,8,3,11,0,0
9254,1,1,121,116,0,1,0,0,21,0,6,8,6,11,0,0,6,8,4,12,0,1
9670,1,1,136,123,0,1,0,1,18,0,6,10,6,13,0,0,6,13,5,14,0,1
9070,1,1,125,125,0,1,0,0,19,0,6,7,5,12,0,0,6,6,5,12,0,2
9773,1,1,131,127,0,1,0,1,18,0,6,6,6,15,0,0,6,6,6,12,0,0
9085,1,1,122,103,0,1,0,0,19,0,5,6,5,14,0,0,5,6,5,13,0,1
9773,1,1,127,123,0,1,0,0,18,0,6,12,1,11,0,0,6,12,0,0,0,2
9147,1,1,136,124,0,1,0,0,18,0,5,8,5,12,0,0,5,6,5,10,0,1
9556,1,19,133,99,0,0,0,1,37,0,7,13,1,16,0,0,7,12,0,0,0,0
9991,0,40,127,124,0,1,0,0,29,0,5,10,5,13,0,0,5,14,5,12,3,1
9070,1,1,116,110,0,1,0,0,18,0,6,6,6,11,0,0,6,6,6,12,0,2
9238,1,1,121,118,0,1,0,1,19,0,6,8,5,11,0,0,6,9,5,12,0,1
9238,1,1,124,118,0,0,0,0,22,6,10,16,6,11,0,2,7,8,2,13,0,0
9254,1,1,131,137,0,1,0,1,20,0,6,8,6,11,0,0,6,10,5,10,0,1
8014,0,1,100,100,0,1,0,0,34,0,6,0,0,0,0,0,6,0,0,0,0,0
9119,1,1,130,120,0,0,0,0,30,8,12,17,8,11,0,6,12,19,6,12,2,0
9238,1,1,135,122,0,1,0,0,18,0,6,7,6,14,0,0,6,7,6,14,0,1
9238,1,1,130,121,0,1,0,0,18,0,6,6,6,12,0,0,6,6,6,12,0,1
9773,1,1,146,149,0,1,0,0,18,0,6,11,4,12,0,0,6,10,3,11,0,1
9500,1,1,146,140,0,1,0,0,18,0,8,8,7,14,0,0,8,8,7,14,0,1
9773,1,1,154,133,0,1,0,1,19,0,6,7,5,11,0,0,6,8,5,12,0,1
9070,1,1,137,126,0,1,0,1,19,0,6,6,6,13,0,0,6,8,6,12,0,1
9500,1,1,151,127,0,1,0,1,18,0,8,8,7,13,0,0,8,8,7,13,0,1
9003,1,39,150,150,0,1,0,1,21,0,6,9,6,12,0,0,6,8,5,12,0,1
9147,1,1,121,113,0,0,0,0,20,0,5,10,2,10,0,0,5,12,1,13,0,0
9147,1,1,122,117,0,1,0,0,20,0,5,10,5,13,0,0,5,8,5,12,0,1
9500,1,1,143,136,0,1,0,0,19,2,7,8,7,12,0,1,8,8,8,13,0,1
9238,1,1,152,144,0,1,0,0,20,0,6,8,6,14,0,0,6,7,6,15,0,1
9500,1,1,145,139,0,1,0,0,18,0,7,7,7,13,0,0,8,8,8,15,0,1
9853,1,1,120,113,0,1,0,0,20,0,6,8,5,11,0,0,6,10,3,10,0,0
9130,1,3,140,140,0,0,0,0,29,7,9,16,7,11,4,5,7,12,5,13,2,0
9500,1,1,143,142,0,1,0,1,18,0,7,7,7,13,0,0,8,8,8,13,0,2
9500,1,1,129,119,0,1,0,1,20,0,7,8,7,14,0,0,8,11,7,13,0,1
9147,1,1,139,123,0,1,0,1,22,0,5,8,4,12,0,0,5,8,4,11,2,1
8014,0,1,133,143,0,1,0,1,47,0,6,9,5,14,0,0,6,7,6,14,0,1
9991,0,1,127,100,0,1,0,0,31,1,5,5,5,14,0,0,5,5,5,13,0,1
9070,1,1,126,119,0,1,0,1,21,0,6,7,5,13,0,0,6,6,6,12,0,1
8014,0,1,128,122,0,1,0,0,21,0,6,8,5,12,0,0,6,10,6,11,0,1
9773,1,12,100,100,0,1,0,0,24,0,6,6,6,12,0,0,6,6,6,13,0,1
